timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741290010246,1152,16 Get Stock Prices Request,200,OK,User Thread Group 1-905,text,false,,400,603,126,126,http://localhost:8080/transaction/getStockPrices,1152,0,0
1741290010244,1161,16 Get Stock Prices Request,200,OK,User Thread Group 1-949,text,false,,400,594,125,125,http://localhost:8080/transaction/getStockPrices,1161,0,0
1741290010240,1176,16 Get Stock Prices Request,200,OK,User Thread Group 1-832,text,false,,400,591,124,124,http://localhost:8080/transaction/getStockPrices,1176,0,0
1741290010245,1171,16 Get Stock Prices Request,200,OK,User Thread Group 1-482,text,false,,400,599,124,124,http://localhost:8080/transaction/getStockPrices,1171,0,0
1741290010240,1187,16 Get Stock Prices Request,200,OK,User Thread Group 1-606,text,false,,400,590,122,122,http://localhost:8080/transaction/getStockPrices,1187,0,0
1741290010239,1196,16 Get Stock Prices Request,200,OK,User Thread Group 1-626,text,false,,400,606,121,121,http://localhost:8080/transaction/getStockPrices,1196,0,0
1741290010240,1199,16 Get Stock Prices Request,200,OK,User Thread Group 1-808,text,false,,400,598,120,120,http://localhost:8080/transaction/getStockPrices,1199,0,0
1741290010240,1211,16 Get Stock Prices Request,200,OK,User Thread Group 1-865,text,false,,400,595,119,119,http://localhost:8080/transaction/getStockPrices,1211,0,0
1741290010238,1219,16 Get Stock Prices Request,200,OK,User Thread Group 1-927,text,false,,400,598,118,118,http://localhost:8080/transaction/getStockPrices,1219,0,0
1741290010239,1220,16 Get Stock Prices Request,200,OK,User Thread Group 1-922,text,false,,400,591,117,117,http://localhost:8080/transaction/getStockPrices,1220,0,0
1741290010238,1224,16 Get Stock Prices Request,200,OK,User Thread Group 1-860,text,false,,400,598,116,116,http://localhost:8080/transaction/getStockPrices,1224,0,0
1741290010239,1231,16 Get Stock Prices Request,200,OK,User Thread Group 1-522,text,false,,400,603,115,115,http://localhost:8080/transaction/getStockPrices,1231,0,0
1741290010239,1231,16 Get Stock Prices Request,200,OK,User Thread Group 1-406,text,false,,400,595,114,114,http://localhost:8080/transaction/getStockPrices,1231,0,0
1741290010305,1179,16 Get Stock Prices Request,200,OK,User Thread Group 1-755,text,false,,400,600,113,113,http://localhost:8080/transaction/getStockPrices,1179,0,0
1741290010305,1185,16 Get Stock Prices Request,200,OK,User Thread Group 1-491,text,false,,400,600,112,112,http://localhost:8080/transaction/getStockPrices,1185,0,0
1741290010288,1203,16 Get Stock Prices Request,200,OK,User Thread Group 1-942,text,false,,400,596,111,111,http://localhost:8080/transaction/getStockPrices,1203,0,0
1741290010282,1219,16 Get Stock Prices Request,200,OK,User Thread Group 1-386,text,false,,400,598,110,110,http://localhost:8080/transaction/getStockPrices,1219,0,0
